ABYA3,Construção e Engenharia
AGIN3,Construção e Engenharia
AMBV3,Bebidas
BBAS3,Financeiros
BEEF3,Alimentos
BISA3,Construção e Engenharia
CSNA3,Siderurgia e Metalurgia
ENBR3,Energia Elétrica
GETI3,Energia Elétrica
HGTX3,"Tecidos, Vestuário e Calçados"
ITUB3,Financeiros
KSSA3,Construção e Engenharia
OGXP3,"Petróleo, Gás e Biocombustíveis"
PDGR3,Construção e Engenharia
POSI3,Computadores e Equipamentos
RENT3,Diversos
BRAP4,Holdings Diversificadas
COCE5,Energia Elétrica
ITSA4,Financeiros
ITUB4,Financeiros
PCAR5,Comércio e Distribuição
PETR4,"Petróleo, Gás e Biocombustíveis"
UGPA4,Holdings Diversificadas
VALE5,Mineração
EQTL3,Energia Elétrica
CYRE3,Construção e Engenharia
PETR3,"Petróleo, Gás e Biocombustíveis"
MMXM3,Mineração
BRML3,Exploração de Imóveis
JBSS3,Alimentos
NATU3,Prods. de Uso Pessoal e de Limpeza
AMBV4,Bebidas
GUAR3,Comércio
LIGT3,Energia Elétrica
LREN3,Comércio
HBOR3,Construção e Engenharia
VIVO4,Telefonia Móvel
EVEN3,Construção e Engenharia
TCSA3,Construção e Engenharia
GGBR3,Siderurgia e Metalurgia
GGBR4,Siderurgia e Metalurgia
CCRO3,Transporte
GOAU4,Siderurgia e Metalurgia
DASA3,Saúde
OSXB3,"Petróleo, Gás e Biocombustíveis"
VALE3,Mineração
BBDC4,Financeiros
UCAS3,Utilidades Domésticas
MDIA3,Alimentos
KLBN4,Madeira e Papel
LPSB3,Construção e Engenharia
EZTC3,Construção e Engenharia
EMBR3,Material de Transporte
RDCD3,Serviços Financeiros Diversos
BRFS3,Alimentos
TPIS3,Transporte
PCAR4,Comércio e Distribuição
MRVE3,Construção e Engenharia
ESTC3,Diversos
KROT3,Diversos
AEDU3,Diversos
BRPR3,Exploração de Imóveis
ELET6,Energia Elétrica
QUAL3,Saúde
MPLU3,Diversos
DIRR3,Construção e Engenharia
CIEL3,Serviços Financeiros Diversos
BBSE3,Previdência e Seguros
ALSC3,Exploração de Imóveis
CESP6,Energia Elétrica
ABEV3,Bebidas
SUZB5,Madeira e Papel
FIBR3,Madeira e Papel
ITSA3,Financeiros
VIVT3,Telefonia Fixa
VIVT4,Telefonia Fixa
TIMP3,Telefonia Móvel
UGPA3,Holdings Diversificadas
CTIP3,Serviços Financeiros Diversos
SLCE3,Agropecuária
SAPR4,Água e Saneamento
RADL3,Comércio e Distribuição
TRPL4,Energia Elétrica
ELET3,Energia Elétrica
CSAN3,Alimentos
PARD3,Saúde
SUZB3,Madeira e Papel
OMGE3,Energia Elétrica
